* 통계표명 :,월별_매입자거주지별_아파트매매거래_동호수,,,,,,,,,,,,,,,,
* 수록기간 :,2019년 12월 ~ 2021년 01월,,,,,,,,,,,,,,,,
* 조회기간 :,2019년 12월 ~ 2021년 01월,,,,,,,,,,,,,,,,
* 출처 :,국토교통부,,,,,,,,,,,,,,,,
* 자료다운일자 :,2021.03.09 21:51:48,,,,,,,,,,,,,,,,
* 단위 :,"동(호)수,천㎡",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
지 역,,,매입자거주지,2019년 12월,2020년 01월,2020년 02월,2020년 03월,2020년 04월,2020년 05월,2020년 06월,2020년 07월,2020년 08월,2020년 09월,2020년 10월,2020년 11월,2020년 12월,2021년 01월
,수성구,,합계,915,753,628,430,286,449,704,1207,740,929,1239,1019,790,315
,,,관할시군구내,549,435,357,239,177,256,396,684,393,522,688,540,374,155
,,,관할시도내,239,199,160,107,64,109,162,323,215,237,357,278,243,87
,,,관할시도외_서울,11,8,12,6,6,8,45,13,10,12,14,19,9,7
,,,관할시도외_기타,116,111,99,78,39,76,101,187,122,158,180,182,164,66
,달서구,,합계,1157,1172,1130,716,609,953,1242,1755,964,1154,1242,1625,1380,342
,,,관할시군구내,739,752,696,481,420,696,806,1118,650,748,813,995,762,182
,,,관할시도내,278,283,293,166,133,170,292,391,208,296,269,409,379,101
,,,관할시도외_서울,11,10,15,8,2,8,20,27,9,25,11,14,18,5
,,,관할시도외_기타,129,127,126,61,54,79,124,219,97,85,149,207,221,54
,달성군,,합계,444,444,418,1071,244,349,426,978,517,490,475,860,1162,503
,,,관할시군구내,248,254,216,150,120,180,226,685,300,251,258,458,591,239
,,,관할시도내,136,137,156,88,94,127,152,210,169,178,170,310,375,157
,,,관할시도외_서울,2,6,2,1,2,1,2,2,1,3,1,5,11,5
,,,관할시도외_기타,58,47,44,832,28,41,46,81,47,58,46,87,185,102
인천,,,합계,4794,5066,7516,9118,4928,4738,8545,4753,3009,2518,3358,3192,5381,4528
,,,관할시군구내,2607,2825,3792,4285,2524,2390,4365,2476,1693,1399,1727,1575,2445,1987
,,,관할시도내,931,912,1291,1649,937,923,1559,893,585,493,616,523,986,774
,,,관할시도외_서울,397,360,555,743,362,394,729,486,260,209,343,362,648,531
,,,관할시도외_기타,859,969,1878,2441,1105,1031,1892,898,471,417,672,732,1302,1236
,중구,,합계,192,246,409,509,271,254,504,235,147,152,139,173,243,213
,,,관할시군구내,75,81,140,169,82,68,176,93,61,59,55,68,92,62
,,,관할시도내,44,63,122,135,61,70,123,52,39,42,36,33,61,60
,,,관할시도외_서울,32,32,52,75,28,32,50,32,24,23,20,31,33,39
,,,관할시도외_기타,41,70,95,130,100,84,155,58,23,28,28,41,57,52
,동구,,합계,83,54,91,181,115,110,148,140,86,66,98,87,118,75
,,,관할시군구내,42,29,36,64,47,45,55,49,32,34,30,32,49,28
,,,관할시도내,29,19,32,59,46,43,58,59,41,24,51,35,44,33
,,,관할시도외_서울,6,2,4,7,4,6,9,11,2,0,3,6,12,3
,,,관할시도외_기타,6,4,19,51,18,16,26,21,11,8,14,14,13,11
,미추홀구,,합계,413,454,734,834,487,459,842,526,411,307,380,307,430,372
,,,관할시군구내,212,245,315,367,258,232,470,281,228,186,226,177,191,171
,,,관할시도내,81,83,97,162,104,95,158,106,106,64,77,61,106,84
,,,관할시도외_서울,33,24,49,52,26,36,57,37,26,13,27,16,43,32
,,,관할시도외_기타,87,102,273,253,99,96,157,102,51,44,50,53,90,85
,연수구,,합계,1039,892,1609,1883,1099,875,1935,625,468,358,514,478,1184,935
,,,관할시군구내,549,466,774,824,533,397,881,286,247,184,275,249,527,377
